hsk_level,hanzi,pinyin,meaning
4,精彩,jīngcǎi,brilliant; spectacular; wonderful
4,景色,jǐngsè,scenery; landscape; scene
4,警察,jǐngchá,police
4,竞争,jìngzhēng,compete
4,竟然,jìngrán,unexpectedly; to one's surprise; go so far as to
4,镜子,jìngzi,mirror
4,究竟,jiūjìng,after all; when all is said and done; actually
4,举,jǔ,lift; raise; cite
4,举办,jǔbàn,to conduct; to hold
4,举行,jǔxíng,"convene; to hold (a meeting, ceremony, etc.)"
4,拒绝,jùjué,to refuse; to decline; to reject
4,距离,jùlí,distance; be apart; away from
4,聚会,jùhuì,hold a meeting; get together; a party
4,开玩笑,kāi wánxiào,joke; play a joke; make fun of
4,开心,kāixīn,feel happy; have a great time; make fun of somebody
4,看法,kànfǎ,point of view; opinion
4,考虑,kǎolǜ,think over; consider
4,烤鸭,kǎoyā,roast duck
4,科学,kēxué,science; scientific knowledge
4,棵,kē,(mw for plants)
4,咳嗽,késou,to cough
4,可怜,kělián,pitiful; poor; pathetic
4,可是,kěshì,but; however
4,可惜,kěxī,it's a pity; regrettable; too bad
4,客厅,kètīng,living room; parlor
4,肯定,kěndìng,sure; definite; affirm
4,空,"kōng, kòng",empty; sky; leave blank
4,空气,kōngqì,air
4,恐怕,kǒngpà,be afraid; to fear; I'm afraid that
4,苦,kǔ,bitter; miserable
4,矿泉水,kuàngquánshuǐ,mineral water
4,困,kùn,sleepy; surround; hard-pressed
4,困难,kùnnan,difficulty; difficult; problem
4,垃圾桶,lājītǒng,garbage can
4,拉,lā,to pull; to play (string instruments); to drag
4,辣,là,hot (spicy)
4,来不及,lái bu jí,there's not enough time (to do something); it's too late
4,来得及,lái de jí,there's still time
4,来自,láizì,come from (a place)
4,懒,lǎn,lazy
4,浪费,làngfèi,to waste; squander
4,浪漫,làngmàn,romantic
4,老虎,lǎohǔ,tiger
4,冷静,lěngjìng,calm; cool-headed; sober
4,礼拜天,lǐbàitiān,Sunday
4,礼貌,lǐmào,courtesy; politeness; manners
4,理发,lǐfà,"a barber, hairdressing; haircut"
4,理解,lǐjiě,comprehend; understand
4,理想,lǐxiǎng,ideal
4,力气,lìqi,physical strength; effort
4,厉害,lìhai,terrible; formidable; fierce
4,例如,lìrú,for example; for instance
4,俩,liǎng,(colloquial) two (people)
4,连,lián,even; including; join
4,联系,liánxì,integrate; link; connection
4,凉快,liángkuai,nice and cool; pleasantly cool
4,零钱,língqián,small change (of money)
4,另外,lìngwài,another; in addition; besides
